# mono_w, max_w, cells_w, smooth_w, target
3.175678613733807776e+00,5.986729123081363513e-01,2.136089907941440824e+00,2.810422583765530113e+00,3.071999999999999886e+02
2.306844685639910519e+00,3.391447006051329538e+00,3.536633822424881668e+00,2.903310830317843205e+00,3.840000000000000000e+02
2.233942700299897055e+00,6.905544654832895812e-01,2.945689230652630108e+00,2.070459515075486312e+00,5.120000000000000000e+02
6.751965449049385226e-01,1.625439728464080247e+00,4.674702920914153736e+00,2.321172587691320732e+00,4.351999999999999886e+02
1.404507377855820360e+00,3.086431667265365775e+00,4.537508810768611234e+00,1.935393240093316036e+00,5.120000000000000000e+02
8.098822914817094265e-01,3.733108148908654833e+00,3.292799757390292292e+00,1.386179571978989777e+00,6.656000000000000227e+02
4.360998434665517287e+00,1.646312274329509329e+00,4.108355374760932044e+00,4.726937468582040225e+00,3.583999999999999773e+02
3.502987119801492355e+00,3.955948725644550024e+00,2.951300185050227842e+00,1.649785328480823932e-01,4.096000000000000227e+02
1.647976255230023668e+00,3.597824806409244403e-01,4.705075753715190601e+00,8.612647902457543081e-01,3.328000000000000114e+02
2.156418803632911718e+00,8.036180255685754226e-01,2.219063589946518311e-01,4.582623890777569819e+00,5.120000000000000000e+02
8.554236271826527460e-01,3.458872247719280146e+00,3.203952399136581253e+00,1.271265398521639334e+00,5.120000000000000000e+02
8.230640399324882228e-01,4.047628671826321245e+00,3.467160282281015249e+00,1.567989822659541899e+00,3.071999999999999886e+02
8.054935981359631070e-01,3.710023925708374914e+00,3.283713169223163586e+00,1.376888326513878935e+00,5.120000000000000000e+02
3.502950790024740080e+00,3.955986976651619802e+00,2.951435053920696827e+00,1.650978281269420422e-01,3.328000000000000114e+02
1.184232007634677952e-02,2.440088598757123250e+00,7.370600160641116450e-02,3.965830603610768890e+00,4.096000000000000227e+02
4.654807347593114208e+00,5.761558667143595880e-01,4.429778653184706094e+00,2.395667032080326386e+00,2.560000000000000000e+02
1.662778941149734013e+00,1.751880845619993021e+00,1.763871694003646962e+00,9.213754116826211593e-01,1.920000000000000000e+02
4.351938893440188139e+00,1.154724278714478025e+00,4.682843749286993429e+00,2.299044998502368653e+00,3.071999999999999886e+02
1.151807411962293415e+00,3.671153517844508940e+00,6.284219619443143223e-01,2.474074383185728365e+00,1.791999999999999886e+02
3.615212535911214609e+00,1.985781828794388915e+00,3.359918898384127051e+00,4.157588189326153483e+00,2.816000000000000227e+02
4.874390619226403487e+00,3.736093502836718150e-01,1.758062656226262011e+00,9.154602660768795808e-01,2.560000000000000000e+02
2.426286647000870378e+00,1.353128872881898648e+00,3.590360948941740293e+00,1.378470662524628576e+00,2.560000000000000000e+02
1.111598390445087237e+00,2.432842807478672320e+00,4.955893090672352841e+00,3.657633769720014083e+00,2.048000000000000114e+02
3.428117090788302512e+00,2.267346432896064190e+00,8.162642699569261362e-01,3.427701054133926561e+00,2.560000000000000000e+02
3.553128099325948863e+00,4.028419911398128050e+00,2.587232821617067913e+00,2.629399305577952983e+00,2.560000000000000000e+02
4.059401490754746433e+00,2.319006872402963104e+00,1.918034254068675670e+00,2.035669926357424497e+00,4.096000000000000227e+02
4.484818320690087567e+00,3.308517744821667605e+00,9.197565057960482848e-01,2.964987565099361788e+00,3.328000000000000114e+02
3.481310228909366256e+00,9.447029964588793405e-01,4.461696696818319374e+00,1.773615822072797776e+00,1.791999999999999886e+02
1.499314328259225837e+00,1.635042335506970979e+00,3.012844132958714116e+00,2.167425880529406435e+00,2.560000000000000000e+02
3.464573003763789849e+00,2.271781698017609763e+00,3.029549245578218475e+00,1.610541739264370609e-01,2.816000000000000227e+02
1.203531899959208840e+00,4.643423039871779956e+00,4.550621860174183908e+00,3.627472548951036213e+00,3.583999999999999773e+02
6.797004006741602655e-02,2.255523299424424088e+00,3.048558297696035257e+00,4.164444349176307014e+00,1.791999999999999886e+02
2.730352331702453839e+00,5.032134170881280566e-01,1.648578726253624449e+00,3.107900766257263303e+00,1.920000000000000000e+02
4.119196849202588773e+00,3.131482716598158689e+00,3.452837635614995460e+00,2.261998979136561783e+00,3.071999999999999886e+02
2.415582555537401532e+00,3.766570606434063162e+00,1.618691199633787825e+00,4.028112668949615838e+00,2.304000000000000057e+02
2.282693459055010088e+00,1.538963460958854279e+00,8.201252527099678336e-01,1.177502232838995022e-01,3.328000000000000114e+02
1.650088292524835021e+00,3.499574537670985031e+00,2.858621207073530623e+00,2.258392425488056965e+00,2.816000000000000227e+02
1.621355250790914138e+00,1.515627244623285907e+00,2.691121161667244799e+00,3.558548075669871302e+00,2.816000000000000227e+02
9.330351692245780759e-01,3.002789149163406890e+00,4.109634816521018585e+00,2.474823870934670822e+00,3.071999999999999886e+02
1.828750706423263761e+00,1.871615984793341791e+00,1.919758543525496020e+00,1.243747056266437667e+00,1.791999999999999886e+02
